,first_arrival,PGV_max,PGV_mean,PGV_min
0,1.98,0.38161296024187147,0.11195651322493017,0.03164291993930598
1,1.52,0.3623027273602839,0.09970966643593099,0.020557469147559827
2,2.33,0.2646315264952718,0.08125591742181644,0.015455551088751551
3,1.75,0.5441644890467173,0.05151253337508005,0.01056968006031489
4,1.96,0.34506767901770036,0.0655958478623867,0.017195587727437213
5,1.6600000000000001,0.09923245967343945,0.036754786500021584,0.01131174879183516
6,1.35,0.18639665453104856,0.05918791247768725,0.013232716733569258
7,2.02,0.3081226744099448,0.08330400177114701,0.025842380095270085
8,1.85,0.47526501023589723,0.06445694704186371,0.012582771689495566
9,1.76,0.43434030504948096,0.07214014374746552,0.01673765124915017
10,1.9100000000000001,0.1713902927967909,0.06489846085109059,0.011496436813497709
11,1.79,0.3977445795327225,0.08626323696477824,0.014035681987354167
12,1.35,0.3518183643752992,0.09755113824979472,0.033892023292133276
13,1.78,0.2267857337377932,0.08198039152720445,0.019392035610543163
14,1.6500000000000001,0.47124640071445695,0.07943050824806377,0.011717132577215647
15,1.77,0.3660985532265543,0.0896806529584807,0.011743965401392312
16,1.93,0.22411853509821947,0.058438016592968864,0.01346081843482721
17,1.96,0.16247480674104162,0.06074897384739034,0.015101190519346434
18,1.7,0.1568715987259548,0.06351586562930071,0.018764545713226985
19,1.71,0.2676873616227555,0.08834362599030841,0.020894822762575076
20,1.96,0.1939949515204777,0.06987725295342183,0.007998988298738897
21,1.57,0.3619236440540044,0.06694662828594793,0.015390130388402819
22,1.94,0.4177642734283711,0.11129811330362059,0.015602936639198373
23,1.83,0.17495351792312738,0.048202455870623405,0.0153067938191062
24,1.98,0.10804105831040174,0.05002398572728525,0.011630449179036956
25,1.98,0.4764137548124579,0.09324960174871501,0.014945613830804633
26,1.78,0.360181026153847,0.07218324202389546,0.01633168451044532
27,1.54,0.2306691870130025,0.07472191003608235,0.018410751454644415
28,1.78,0.44625006904332626,0.07642445835408004,0.013162782880688506
29,1.6500000000000001,0.31384768023385823,0.06917997080171326,0.014852276109477326
30,1.74,0.16414879534378746,0.05012047337380569,0.007998609366645494
31,1.6600000000000001,0.28321462008714804,0.08568127889329863,0.015333001930670902
32,1.6300000000000001,0.36848650755429746,0.06560572487630689,0.012142101989778947
